%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644357048940629274,1,1644357048939877986,,42.340133333333334,-71.097665,3.6,327200.94134463894,4689672.966794209,19,T
1644357049939492561,2,1644357049938677787,,42.340133333333334,-71.097665,3.5,327200.94134463894,4689672.966794209,19,T
1644357050938735057,3,1644357050938054084,,42.340135,-71.09766,3.9,327201.35781196214,4689673.14170349,19,T
1644357051938875220,4,1644357051938283681,,42.340136666666666,-71.09765666666667,4.0,327201.63697871356,4689673.319999962,19,T
1644357052939289445,5,1644357052938573122,,42.340138333333336,-71.097655,4.1,327201.7788449039,4689673.501683608,19,T
1644357053938314341,6,1644357053937634468,,42.340138333333336,-71.09765166666666,4.1,327202.05344599485,4689673.494909285,19,T
1644357054939698784,7,1644357054939037322,,42.34014,-71.09765,4.1,327202.1953121729,4689673.676592939,19,T
1644357055938636162,8,1644357055937902450,,42.34014166666667,-71.09764666666666,4.3,327202.4744788789,4689673.854889442,19,T
1644357056939826169,9,1644357056939033031,,42.34014333333333,-71.09764333333334,4.3,327202.75364557246,4689674.033185957,19,T
1644357057959155890,10,1644357057958291769,,42.340145,-71.09764166666666,4.3,327202.89551171975,4689674.214869624,19,T
1644357058941120086,11,1644357058940334558,,42.340145,-71.09763833333334,4.1,327203.17011278146,4689674.208095345,19,T
1644357059940538469,12,1644357059939752817,,42.340145,-71.09763666666667,4.0,327203.3074133112,4689674.204708208,19,T
1644357060940289942,13,1644357060939497709,,42.34014666666667,-71.09763333333333,3.8,327203.58657997067,4689674.383004756,19,T
1644357061940787822,14,1644357061940047502,,42.34014666666667,-71.09763166666667,3.6,327203.7238804947,4689674.379617628,19,T
1644357062940348282,15,1644357062939486026,,42.34014833333333,-71.09763,3.4,327203.8657466116,4689674.561301312,19,T
1644357063959930756,16,1644357063959095478,,42.34014833333333,-71.09762666666667,3.3,327204.14034765854,4689674.55452707,19,T
1644357064957831057,17,1644357064956973314,,42.34015,-71.097625,3.2,327204.28221376106,4689674.736210764,19,T
1644357065957333585,18,1644357065956514120,,42.34015,-71.09762333333333,3.2,327204.4195142798,4689674.73282365,19,T
1644357066941597308,19,1644357066940709114,,42.34015,-71.09762333333333,3.2,327204.4195142798,4689674.73282365,19,T
1644357067957397659,20,1644357067956606626,,42.34015,-71.09762166666667,3.2,327204.5568148007,4689674.729436539,19,T
1644357068940016865,21,1644357068939213514,,42.340151666666664,-71.09762,3.2,327204.69868088455,4689674.911120241,19,T
1644357069957526754,22,1644357069956738710,,42.34015333333333,-71.09761833333333,3.2,327204.84054696554,4689675.092803944,19,T
1644357070944186059,23,1644357070943377256,,42.34015333333333,-71.09761833333333,3.3,327204.84054696554,4689675.092803944,19,T
1644357071939407914,24,1644357071938588142,,42.34015333333333,-71.09761833333333,3.3,327204.84054696554,4689675.092803944,19,T
1644357072965661932,25,1644357072964781761,,42.34015333333333,-71.09761666666667,3.3,327204.97784747905,4689675.089416841,19,T
1644357073963533593,26,1644357073962651968,,42.340155,-71.09761333333333,3.3,327205.2570140548,4689675.267713454,19,T
1644357074944819677,27,1644357074944043874,,42.340156666666665,-71.09761166666667,3.3,327205.39888011426,4689675.449397167,19,T
1644357075964877271,28,1644357075964086532,,42.340158333333335,-71.09761,3.2,327205.5407461644,4689675.631080885,19,T
1644357076945583284,29,1644357076944795131,,42.34016,-71.09760833333333,3.2,327205.6826122095,4689675.812764606,19,T
1644357077944920775,30,1644357077944074869,,42.34016166666667,-71.097605,3.2,327205.96177874075,4689675.991061244,19,T
1644357078944407798,31,1644357078943624973,,42.34016166666667,-71.09760333333334,3.2,327206.09907923185,4689675.987674163,19,T
1644357079960794217,32,1644357079959969758,,42.34016333333334,-71.0976,3.2,327206.37824574707,4689676.165970818,19,T
1644357080963420507,33,1644357080962599515,,42.340165,-71.09759833333334,3.1,327206.5201117577,4689676.347654554,19,T
1644357081961034475,34,1644357081960157155,,42.34016666666667,-71.09759666666666,3.1,327206.6619777613,4689676.529338294,19,T
1644357082945711513,35,1644357082944877624,,42.34016833333333,-71.09759333333334,3.2,327206.94114423846,4689676.70763497,19,T
1644357083952160257,36,1644357083951321125,,42.34017,-71.09759166666667,3.4,327207.08301022416,4689676.889318718,19,T
1644357084947458000,37,1644357084946578741,,42.34017166666667,-71.09759,3.6,327207.22487620474,4689677.071002468,19,T
1644357085965825916,38,1644357085965092658,,42.34017333333333,-71.09758833333333,3.8,327207.3667421782,4689677.252686219,19,T
1644357086965851505,39,1644357086965059518,,42.340175,-71.09758666666667,4.0,327207.50860814046,4689677.434369977,19,T
1644357087946920580,40,1644357087946051836,,42.340176666666665,-71.097585,4.2,327207.6504740998,4689677.616053733,19,T
1644357088963874716,41,1644357088962946653,,42.340178333333334,-71.09758166666667,4.6,327207.9296405085,4689677.794350449,19,T
1644357089964248790,42,1644357089963416099,,42.34018,-71.09758,4.9,327208.07150644984,4689677.976034214,19,T
1644357090948130906,43,1644357090947249174,,42.340183333333336,-71.09757666666667,5.2,327208.35523830913,4689678.339401755,19,T
1644357091967407706,44,1644357091966552495,,42.340185,-71.097575,5.4,327208.49710422487,4689678.521085529,19,T
1644357092948412111,45,1644357092947546005,,42.340185,-71.09757333333333,5.6,327208.63440466905,4689678.517698496,19,T
1644357093948712534,46,1644357093947917938,,42.34018666666667,-71.09757,5.8,327208.91357101663,4689678.695995246,19,T
1644357094949143372,47,1644357094948347568,,42.34018833333333,-71.09756833333333,6.0,327209.055436913,4689678.87767903,19,T
1644357095949459657,48,1644357095948615312,,42.34019,-71.097565,6.2,327209.3346032354,4689679.055975799,19,T
1644357096949642096,49,1644357096948779821,,42.34019166666667,-71.09756333333333,6.4,327209.47646911594,4689679.237659593,19,T
1644357097948876986,50,1644357097948037624,,42.340195,-71.09756166666666,6.5,327209.62290043116,4689679.6044142,19,T
1644357098950200099,51,1644357098949333906,,42.340196666666664,-71.09756,6.6,327209.7647662939,4689679.786097998,19,T
1644357099948942257,52,1644357099948153018,,42.34019833333333,-71.09755833333334,6.7,327209.9066321454,4689679.967781799,19,T
1644357100943460697,53,1644357100942589759,,42.3402,-71.097555,6.6,327210.1857984052,4689680.1460786,19,T
1644357101944020997,54,1644357101943150520,,42.340201666666665,-71.09755333333334,6.4,327210.32766424085,4689680.327762409,19,T
1644357102944556944,55,1644357102943736553,,42.340203333333335,-71.09755,6.3,327210.6068304734,4689680.506059224,19,T
1644357103944505934,56,1644357103943668127,,42.34020666666667,-71.09754833333334,6.2,327210.75326170714,4689680.872813854,19,T
1644357104943323719,57,1644357104942523479,,42.34020833333334,-71.097545,6.1,327211.03242790734,4689681.051110686,19,T
1644357105944336759,58,1644357105943548917,,42.34021,-71.09754333333333,5.9,327211.1742937057,4689681.232794511,19,T
1644357106944361621,59,1644357106943502426,,42.34021166666667,-71.09754,5.8,327211.4534598787,4689681.41109136,19,T
1644357107944601784,60,1644357107943741321,,42.34021333333333,-71.09753833333333,5.7,327211.59532565926,4689681.592775194,19,T
1644357108962769837,61,1644357108961943864,,42.34021666666667,-71.097535,5.6,327211.8790571968,4689681.956142871,19,T
1644357109944570496,62,1644357109943774700,,42.34021833333333,-71.09753166666667,5.5,327212.15822332504,4689682.134439744,19,T
