%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644356045958132563,1,1644356045957121133,,42.3408,-71.09811333333333,12.0,327165.8341624852,4689747.906373103,19,T
1644356046961834425,2,1644356046961062192,,42.3408,-71.09811333333333,12.0,327165.8341624852,4689747.906373103,19,T
1644356047959816740,3,1644356047959005117,,42.3408,-71.09811333333333,12.0,327165.8341624852,4689747.906373103,19,T
1644356048976517593,4,1644356048975713491,,42.3408,-71.09811333333333,12.0,327165.8341624852,4689747.906373103,19,T
1644356049975245875,5,1644356049974521398,,42.3408,-71.09811333333333,12.0,327165.8341624852,4689747.906373103,19,T
1644356050975827940,6,1644356050974961519,,42.3408,-71.09811333333333,11.9,327165.8341624852,4689747.906373103,19,T
1644356051958880138,7,1644356051958020448,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356052978055222,8,1644356052977307796,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356053974828122,9,1644356053974107503,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356054952300289,10,1644356054951503276,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356055958665312,11,1644356055957981348,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356056976336601,12,1644356056975543260,,42.3408,-71.098115,11.5,327165.69686337654,4689747.909761016,19,T
1644356057958067594,13,1644356057957345962,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356058977378353,14,1644356058976595163,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356059952778847,15,1644356059951911926,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356060952306925,16,1644356060951448678,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356061975470027,17,1644356061974588155,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356062963211818,18,1644356062962299346,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356063959066399,19,1644356063958220243,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356064977135828,20,1644356064976293087,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356065974812387,21,1644356065974003553,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356066952997952,22,1644356066952136516,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356067959221291,23,1644356067958434581,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356068976880244,24,1644356068976001024,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356069975928188,25,1644356069974949598,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356070977510408,26,1644356070976699590,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356071976738768,27,1644356071975899219,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356072959122921,28,1644356072958251953,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356073976213781,29,1644356073975355386,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356074959626070,30,1644356074958789587,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356075976915354,31,1644356075976038694,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356076971256612,32,1644356076970359802,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356077955970188,33,1644356077955055475,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356078957351208,34,1644356078956463813,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356079959466068,35,1644356079958675861,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356080958723346,36,1644356080957973003,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356081957915080,37,1644356081957035541,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356082960430688,38,1644356082959612607,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356083952111625,39,1644356083951211690,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356084952504381,40,1644356084951683759,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356085962874304,41,1644356085962110757,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356086958982684,42,1644356086958163261,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356087959523871,43,1644356087958711147,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356088960627850,44,1644356088959780931,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356089958118980,45,1644356089957344293,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356090960125131,46,1644356090959256887,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
